sentence,label,idx
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,[0 1 0 0],63
"though ford and neeson capably hold our interest , but its just not a thrilling movie ",[0 1 0 1],64
is pretty damned funny . ,[1 1 0 0],65
we never feel anything for these characters ,[0 1 0 1],66
's a lousy one at that ,[0 1 0 0],67
the corporate circus that is the recording industry in the current climate of mergers and downsizing ,[0 1 0 0],68
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ",[1 1 0 0],69
of the most highly-praised disappointments i ,[0 1 0 0],70
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",[0 1 0 0],71
seem fresh ,[1 1 0 1],72
to the dustbin of history ,[0 1 0 1],73
"as a director , eastwood is off his game ",[0 1 0 1],74
pays earnest homage to turntablists ,[1 1 0 1],75
weak and ,[0 1 0 0],76
"skip this dreck , ",[0 1 0 0],77
contains very few laughs and even less surprises ,[0 1 0 1],78
film to affirm love 's power to help people endure almost unimaginable horror ,[1 1 0 0],79
are an absolute joy ,[1 1 0 0],80
generates ,[1 1 1 1],81
", like life , is n't much fun without the highs and lows ",[1 1 0 0],82
based on a true and historically significant story ,[1 1 0 1],83
well-rounded tribute ,[1 1 0 1],84
", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",[0 1 0 1],85
so much like a young robert deniro ,[1 1 0 0],86
"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",[1 1 0 1],87
fashioning an engrossing entertainment out ,[1 1 0 1],88
spiffy animated feature ,[1 1 0 1],89
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,[0 1 0 0],90
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ",[1 1 0 1],91
strung-together moments ,[0 1 0 0],92
", generous and subversive artworks ",[1 1 0 1],93
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ",[1 1 0 1],94
funny yet ,[1 1 0 0],95
overbearing and over-the-top ,[0 1 0 1],96
it 's robert duvall ! ,[1 0 1 0],97
rich and sudden wisdom ,[1 1 0 0],98
"acted and directed , it 's clear that washington most certainly has a new career ahead of him ",[1 1 0 1],99
